claim_id,quantity,value,uncertainty,n,unit,source_path,source_locator,status
cover-random-policy-audits.3705,per_slice/row411::n_transition,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[411].n_transition,SOLID
cover-random-policy-audits.3706,per_slice/row411::n_unguided,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[411].n_unguided,SOLID
cover-random-policy-audits.3707,per_slice/row411::anat_cells,55,,,count,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[411].anat_cells,SOLID
cover-random-policy-audits.3708,per_slice/row411::union,145,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[411].union,SOLID
cover-random-policy-audits.3709,per_slice/row412::idx,83985,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[412].idx,SOLID
cover-random-policy-audits.3710,per_slice/row412::hidden_pct,91.03574176765463,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[412].hidden_pct,SOLID
cover-random-policy-audits.3711,per_slice/row412::visible_pct,8.964258232345369,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[412].visible_pct,SOLID
cover-random-policy-audits.3712,per_slice/row412::n_cover,2,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[412].n_cover,SOLID
cover-random-policy-audits.3713,per_slice/row412::n_random,2,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[412].n_random,SOLID
cover-random-policy-audits.3714,per_slice/row412::n_transition,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[412].n_transition,SOLID
cover-random-policy-audits.3715,per_slice/row412::n_unguided,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[412].n_unguided,SOLID
cover-random-policy-audits.3716,per_slice/row412::anat_cells,55,,,count,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[412].anat_cells,SOLID
cover-random-policy-audits.3717,per_slice/row412::union,156,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[412].union,SOLID
cover-random-policy-audits.3718,per_slice/row413::idx,83985,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[413].idx,SOLID
cover-random-policy-audits.3719,per_slice/row413::hidden_pct,84.70379880844293,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[413].hidden_pct,SOLID
cover-random-policy-audits.3720,per_slice/row413::visible_pct,15.296201191557069,,,percent,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[413].visible_pct,SOLID
cover-random-policy-audits.3721,per_slice/row413::n_cover,2,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[413].n_cover,SOLID
cover-random-policy-audits.3722,per_slice/row413::n_random,0,,,scalar,D:\jepa_phase0\reports\cover_random\per_slice.csv,row[413].n_random,SOLID
